Merkez;Ünvanı;Adı;Soyadı;Anabilim Dalı;Bilim Dalı;YÖK ID;ResearcherID (Esas);ResearcherID (ikinci);ORCID (Esas);ORCID (ikinci);Scopus AuthorID;ScopusId (ikinci);ScopusId (üçüncü);ScopusId (dördüncü);ScopusId (beşinci);Pure adı
Konya;Uzm. Dr.;Duygu;ÖZDEMİR;Kadın Hastalıkları ve Doğum;;;;;;;;;;;;
Konya;Uzm. Dr.;Ümit;TAŞDEMİR;Kadın Hastalıkları ve Doğum;;;;;0000-0001-9745-6327;;56416303700;;;;;
Ankara;Arş. Gör. Dr.;Mehmet Ali;ABASIYANIK;Kadın Hastalıkları ve Doğum;;F3C91AA4D2C38A8C;;;0000-0002-5741-8489;;;;;;;
Ankara;Arş. Gör. Dr.;Khayala;ALİYEVA;Kadın Hastalıkları ve Doğum;;359F76BA526A4461;;;0000-0002-7373-9506;;;;;;;
Ankara;Arş. Gör. Dr.;Ebru;DURAN;Kadın Hastalıkları ve Doğum;;67D6F71F5F0316C8;;;0000-0003-1442-7876;;;;;;;
Ankara;Arş. Gör. Dr.;Tahir;ERYILMAZ;Kadın Hastalıkları ve Doğum;;3CE2F360D9710C89;;;0000-0001-7029-6159;;;;;;;
Ankara;Arş. Gör. Dr.;Seray;GÜLAY;Kadın Hastalıkları ve Doğum;;;;;0000-0002-3276-7973;;;;;;;
Ankara;Arş. Gör. Dr.;Lala;ISGANDAROVA;Kadın Hastalıkları ve Doğum;;88DBDF1E5FD8458F;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Atacan Timuçin;KARA;Kadın Hastalıkları ve Doğum;;;;;0000-0002-6164-1042;;;;;;;
Ankara;Arş. Gör. Dr.;Utkun;MORAN;Kadın Hastalıkları ve Doğum;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Mehmet Efe;NAMLI;Kadın Hastalıkları ve Doğum;;F941926877EE8246;;;0000-0001-7352-8373;;;;;;;
Ankara;Arş. Gör. Dr.;Fatma Berna;SİLOV;Kadın Hastalıkları ve Doğum;;;;;0000-0002-3122-7676;;;;;;;
Ankara;Arş. Gör. Dr.;Hüseyin Sonat;ŞİMŞİR;Kadın Hastalıkları ve Doğum;;;;;;;;;;;;
Ankara;Prof. Dr.;Mehmet Sait;AŞLAMACI;Kalp ve Damar Cerrahisi;Çocuk Kalp ve Damar Cerrahisi;CFB3F4A91CB51858;;;0000-0002-9372-2277;;6603545673;;;;;mehmet-sait-aslamacı
Ankara;Prof. Dr.;Atila;SEZGİN;Kalp ve Damar Cerrahisi;Çocuk Kalp ve Damar Cerrahisi;74ADB7CFF0883F24;;;0000-0002-3933-2219;;55137843400;;;;;atila-sezgin
Ankara;Dr. Öğr. Üyesi Dr.(Doç.);Murat;ÖZKAN;Kalp ve Damar Cerrahisi;Çocuk Kalp ve Damar Cerrahisi;32BD955E0A8049AE;;;0000-0003-3991-8479;;56404124000;57196778042;;;;
Ankara;Arş. Gör. (Uzm.) Dr.;Çağrı;KAYIPMAZ;Kalp ve Damar Cerrahisi;Çocuk Kalp ve Damar Cerrahisi;E37CE2B4F45DC615;;;0000-0003-0566-9793;;56543647000;;;;;
Ankara;Prof. Dr.;Hakkı Tankut;AKAY;Kalp ve Damar Cerrahisi;;971A1153D1C1A26E;;;0000-0003-1581-5352;;55664191700;10439297300;56264984800;24068669600;;
Ankara;Prof. Dr.;Ahmet Şükri;HATİPOĞLU;Kalp ve Damar Cerrahisi;;4FF9FC44A4E7B9E6;;;0000-0002-3379-3508;;6701388207;;;;;
İstanbul;Prof. Dr.;Deniz Süha;KÜÇÜKAKSU;Kalp ve Damar Cerrahisi;;8B8D887ECFD820A9;;;0000-0003-2524-4864;;6603005515;6506487544;57213064398;;;
İstanbul;Prof. Dr.;Tufan;PAKER;Kalp ve Damar Cerrahisi;;15FE4B49ECEC6285;;;0000-0003-1963-6896;;14619653000;;;;;
Ankara;Doç. Dr.;Bahadır;GÜLTEKİN;Kalp ve Damar Cerrahisi;;272FC4BB02D96750;;;0000-0002-7746-8440;0000-0003-1947-8859;8869725800;;;;;
İstanbul;Doç. Dr.;Vedat;BAKUY;Kalp ve Damar Cerrahisi;;57FDFA4ECC7EBEBA;;;0000-0002-3156-5157;;6507600021;;;;;
Adana;Dr. Öğr. Üyesi Dr.(Doç.);Hüseyin Ali;TÜNEL;Kalp ve Damar Cerrahisi;;0CCF5AA67F0BA1E8;;;0000-0003-1175-1961;;36607208300;;;;;
Konya;Dr. Öğr. Üyesi Dr.(Doç.);Mehmet;ÖZÜLKÜ;Kalp ve Damar Cerrahisi;;95963F3E29371839;;;0000-0002-9162-4251;;6508274147;;;;;mehmet-ozulku
Adana;Uzm. Dr. (Doç.);Adem İlkay;DİKEN;Kalp ve Damar Cerrahisi;;;;;0000-0002-8782-7603;;36105718400;55696937500;;;;
Alanya;Dr. Öğr. Üyesi Dr.;Cevahir;HABERAL;Kalp ve Damar Cerrahisi;;1F6DF4255CB825DB;;;0000-0002-6496-5050;;8970881700;;;;;
Alanya;Dr. Öğr. Üyesi Dr.;Tonguç;SABA;Kalp ve Damar Cerrahisi;;E689885AB1A815AA;;;0000-0001-6395-0431;;24401916700;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Deniz Sarp;BEYAZPINAR;Kalp ve Damar Cerrahisi;;111C3D1CD7AD60ED;;;0000-0001-5415-7036;;56716262900;;;;;
Konya;Dr. Öğr. Üyesi Dr.;Fatih;AYGÜN;Kalp ve Damar Cerrahisi;;1C9AC67E7BAC1CCF;;;0000-0002-5514-5392;;57190127372;;;;;
Adana;Öğr. Gör. Dr.;Utku;ALEMDAROĞLU;Kalp ve Damar Cerrahisi;;B97F1FA341461922;;;0000-0002-9123-7403;;57193758469;;;;;
Adana;Uzm. Dr.;İzzet;HAFEZ;Kalp ve Damar Cerrahisi;;;;;0000-0002-8521-1389;;;;;;;
Alanya;Uzm. Dr.;Ali Baran;BUDAK;Kalp ve Damar Cerrahisi;;;;;0000-0002-9772-1765;;;;;;;
Ankara;Uzm. Dr.;Anar;ALIYEV;Kalp ve Damar Cerrahisi;;;;;0000-0002-0855-6340;;56021808500;;;;;
Ankara;Uzm. Dr.;Orhan Eren;GÜNERTEM;Kalp ve Damar Cerrahisi;;;;;0000-0002-7132-8586;;56121079200;56001759100;;;;
İzmir;Uzm. Dr.;Deniz;ŞEREFLİ;Kalp ve Damar Cerrahisi;;;;;;;;;;;;
Konya;Uzm. Dr.;Mehmet;ÇELİK;Kalp ve Damar Cerrahisi;;;;;0000-0002-5018-0068;;;;;;;
Adana;Prof. Dr.;Şenol;DEMİRCAN;Kardiyoloji;;F293C91873CF4C22;;;0000-0002-2841-1878;;6602851636;;;;;
Adana;Prof. Dr.;Abdullah;TEKİN;Kardiyoloji;;06145A1F10321436;;;0000-0002-5658-870X;;8687481100;;;;;
Adana;Prof. Dr.;Hatice Göknur;TEKİN;Kardiyoloji;;6422A2C140CF9022;;;0000-0002-6193-0848;;8543741700;57189057435;;;;
Adana;Prof. Dr.;Fatma;YİĞİT;Kardiyoloji;;C54DF5BD3A66842D;;;0000-0003-1541-6167;;22939471800;;;;;fatma-yigit
Ankara;Prof. Dr.;Alp;AYDINALP;Kardiyoloji;;CD55B1C763575B0D;;;0000-0002-3761-8782;;6506098888;;;;;
Ankara;Prof. Dr.;Serpil;EROĞLU;Kardiyoloji;;6CE5A35CFA40F23C;;;0000-0003-3055-7953;;56231501700;7003449323;;;;serpil-eroglu
Ankara;Prof. Dr.;İbrahim Haldun;MÜDERRİSOĞLU;Kardiyoloji;;22F9B4BEA1EB7912;AAG-8233-2020;;0000-0002-9635-6313;;7004312209;;;;;ibrahim-haldun-muderrisoglu
Ankara;Prof. Dr.;Mehmet Bülent;ÖZİN;Kardiyoloji;;311134D2424A34FB;;;0000-0003-3821-412X;0000-0002-6864-0093;6701872987;8390512200;57195083998;;;
Ankara;Prof. Dr.;Bahar;PİRAT;Kardiyoloji;;4C18F0EC4F8AF7B0;;;0000-0003-4576-8630;;6507714534;;;;;
Ankara;Prof. Dr.;Leyla Elif;SADE AKDOĞAN;Kardiyoloji;;7C67138CECF4A545;;;0000-0003-3737-8595;;12808884600;57189027319;;;;leyla-elif-sade
Ankara;Prof. Dr.;Melek Zekiye;ULUÇAM;Kardiyoloji;;2FE3D9EEE26E999C;;;0000-0002-4107-3500;;6507584682;;;;;melek-zekiye-ulucam
Ankara;Prof. Dr.;Aylin;YILDIRIR;Kardiyoloji;;43A7169C3A6ED5DE;A-4947-2018;;0000-0001-8750-5287;;55899555900;7003860270;;;;aylin-yıldırır
İstanbul;Prof. Dr.;Hakan;ALTAY;Kardiyoloji;;B9AEF1D06318FE81;;;0000-0002-8506-7583;;23984357400;;;;;hakan-altay
İstanbul;Prof. Dr.;Armağan;ALTUN;Kardiyoloji;;BB95B5125BD0D66A;;;0000-0002-3233-8263;;7005722551;;;;;armagan-altun
İstanbul;Prof. Dr.;Öykü;GÜLMEZ;Kardiyoloji;;6D3FE83BB9C90735;;;0000-0002-9429-5430;;12791837900;;;;;
İstanbul;Prof. Dr.;Ömer;KOZAN;Kardiyoloji;;41057793F509430B;;;0000-0002-7908-4029;;6603015711;;;;;
İstanbul;Prof. Dr.;Seçkin;PEHLİVANOĞLU;Kardiyoloji;;E2AE45EA1311912E;;;0000-0002-0529-324X;;6602207833;57189355718;;;;
Konya;Prof. Dr.;Aytekin;GÜVEN;Kardiyoloji;;EE082036B1B9A9A1;;;0000-0003-1541-7434;;7006151752;;;;;aytekin-guven
Adana;Doç. Dr.;Tansel;EROL;Kardiyoloji;;BFCD5D92ACED60EA;;;0000-0001-9934-0619;;8687481500;;;;;tansel-erol
Ankara;Doç. Dr.;Uğur Abbas;BAL;Kardiyoloji;;5A23865E752E864A;;;0000-0002-9446-2518;;36840826500;;;;;ugur-abbas-bal
Ankara;Doç. Dr.;Kaan;OKYAY;Kardiyoloji;;861880FC2FA860B1;;;0000-0001-6134-8826;;9042017800;;;;;
Adana;Dr. Öğr. Üyesi Dr.(Doç.);Mustafa;YILMAZ;Kardiyoloji;;E69F33A438F996F2;;;0000-0002-2557-9579;;55425754300;;;;;mustafa-yilmaz
İzmir;Dr. Öğr. Üyesi Dr.(Doç.);Cihan;ALTIN;Kardiyoloji;;E23DE7A61E273FB8;;;0000-0002-3996-5681;;23979295100;;;;;
Alanya;Dr. Öğr. Üyesi Dr.;Ali;ÇONER;Kardiyoloji;;2EBF71DA58367136;;;0000-0002-5711-8873;;55624496900;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Orçun;ÇİFTCİ;Kardiyoloji;;D27932AB94289DCE;;;0000-0001-8926-9142;;57214600857;12808065700;;;;orcun-ciftci
Ankara;Dr. Öğr. Üyesi Dr.;Emir;KARAÇAĞLAR;Kardiyoloji;;08E20FB29E3291F8;;;0000-0002-2538-1642;;24724787500;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Kerem Can;YILMAZ;Kardiyoloji;;3488FF06E297F467;;;0000-0003-3320-9508;;55330239900;;;;;
Alanya;Öğr. Gör. Dr.;Sinan;AKINCI;Kardiyoloji;;B3F7E481BC2D119A;;;0000-0001-5250-5404;;24576511000;;;;;
Adana;Uzm. Dr.;Aynur;ACIBUCA;Kardiyoloji;;;;;0000-0002-3444-8845;;56470743000;;;;;
Adana;Uzm. Dr.;Sefa;OKAR;Kardiyoloji;;;;;0000-0003-1413-7393;;57193992301;;;;;
Alanya;Uzm. Dr.;Ertan;AKBAY;Kardiyoloji;;;;;0000-0002-9146-0621;;55969981500;;;;;
Alanya;Uzm. Dr.;Taylan Erdem;ŞAHİN;Kardiyoloji;;;;;;;;;;;;
Ankara;Uzm. Dr.;Arzu Neslihan;AKGÜN;Kardiyoloji;;;;;0000-0002-1752-4877;;57201280363;57201271042;;;;
Ankara;Uzm. Dr.;Çaşıt Olgun;ÇELİK;Kardiyoloji;;;;;0000-0002-7190-5443;;57211574655;;;;;
Ankara;Uzm. Dr.;Suzan;KESKİN;Kardiyoloji;;;;;0000-0003-4853-8398;;57204798184;;;;;
Ankara;Uzm. Dr.;Egemen;TAYFUN;Kardiyoloji;;;;;;;6507389335;;;;;
İstanbul;Uzm. Dr.;Abdulla;ARSLAN;Kardiyoloji;;;;;0000-0003-2355-3524;;56532332900;;;;;
İstanbul;Uzm. Dr.;Umut;KOCABAŞ;Kardiyoloji;;;;;0000-0001-6424-9399;;57211015002;;;;;
İzmir;Uzm. Dr.;Necmi;ÖZEN;Kardiyoloji;;;;;;;57191478463;;;;;
Konya;Uzm. Dr.;Nurtaç;ÖZER;Kardiyoloji;;;;;0000-0001-7533-8784;;;;;;;
Ankara;Arş. Gör. Dr.;Umut;ALTAŞ;Kardiyoloji;;51D1BE42317B9573;;;;;;;;;;
Ankara;Arş. Gör. Dr.;İzzet;MERCANOV;Kardiyoloji;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Güldeniz;UZAR;Kardiyoloji;;E79C980D9C70D2C9;;;;;;;;;;
Adana;Prof. Dr.;Fatma;ÇAYLAKLI;Kulak-Burun-Boğaz Hastalıkları;;D6ED621E62E0AFD7;;;0000-0002-7333-2896;;6506371080;;;;;
Adana;Prof. Dr.;Alper Nabi;ERKAN;Kulak-Burun-Boğaz Hastalıkları;;;H-1063-2019;;0000-0001-7138-1400;;6602309203;;;;;alper-nabi-erkan
Adana;Prof. Dr.;İsmail;YILMAZ;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0002-1694-7608;;35974512900;;;;;
Ankara;Prof. Dr.;Erdinç;AYDIN;Kulak-Burun-Boğaz Hastalıkları;;0050011F33643952;;;0000-0001-6864-7378;;7004074803;;;;;erdinc-aydın
Ankara;Prof. Dr.;Adnan Fuat;BÜYÜKLÜ;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0003-1528-0036;;8417375700;;;;;
Ankara;Prof. Dr.;Hatice Seyra;ERBEK;Kulak-Burun-Boğaz Hastalıkları;;780454DDB30C534B;;;0000-0002-8453-6069;;14059932700;14825148500;;;;
Ankara;Prof. Dr.;Selim Sermed;ERBEK;Kulak-Burun-Boğaz Hastalıkları;;29FE4F300357018D;;;0000-0003-4825-3499;;14059901200;;;;;selim-sermed-erbek
Ankara;Prof. Dr.;Levent Naci;ÖZLÜOĞLU;Kulak-Burun-Boğaz Hastalıkları;;10A3D8F747E182D2;;;0000-0002-2150-0237;;6602000908;;;;;levent-naci-ozluoglu
Konya;Prof. Dr.;Özgül;TOPAL;Kulak-Burun-Boğaz Hastalıkları;;D84D255EE214929C;;;0000-0001-6305-5023;;14061197100;;;;;
Adana;Doç. Dr.;Haluk;YAVUZ;Kulak-Burun-Boğaz Hastalıkları;;598E868E7FD0CAC2;F-6315-2015;;0000-0003-3320-204X;;7005814453;;;;;
Alanya;Doç. Dr.;Leyla;KANSU;Kulak-Burun-Boğaz Hastalıkları;;F48F7A99C1BCAFBD;;;0000-0003-1707-7760;;23018359200;;;;;leyla-kansu
Ankara;Doç. Dr.;Evren;HIZAL;Kulak-Burun-Boğaz Hastalıkları;;3B93F0BFDFF2C774;;;0000-0002-9699-6783;;16042064000;;;;;
Ankara;Doç. Dr.;Seda;TÜRKOĞLU BABAKURBAN;Kulak-Burun-Boğaz Hastalıkları;;BB259FC0C49D5224;;;0000-0001-5067-4044;;35486737400;57193659380;;;;seda-turkoglu-babakurban
Ankara;Doç. Dr.;Arzu;TÜZÜNER;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0001-9735-3504;;35077840700;;;;;
Alanya;Dr. Öğr. Üyesi Dr.(Doç.);Suat;AVCI;Kulak-Burun-Boğaz Hastalıkları;;;O-3636-2018;;0000-0003-2155-8014;;25621169100;;;;;
İstanbul;Dr. Öğr. Üyesi Dr.(Doç.);Pelin;KOÇDOR;Kulak-Burun-Boğaz Hastalıkları;;423691853C9B79CB;;;0000-0001-9253-1412;;9251051800;57195730403;;;;
İzmir;Dr. Öğr. Üyesi Dr.(Doç.);Erkan;EŞKİ;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0002-4784-3342;;23488326500;;;;;erkan-eski
Adana;Dr. Öğr. Üyesi Dr.;Fulya;ÖZER;Kulak-Burun-Boğaz Hastalıkları;;652D11E15AF01199;;;0000-0001-5381-6861;;8273931900;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Işılay;ÖZ;Kulak-Burun-Boğaz Hastalıkları;;5B891D7FB9B073B6;;;0000-0002-7380-4566;;55612498500;57213751806;;;;
İstanbul;Dr. Öğr. Üyesi Dr.;Berke;ÖZÜCER;Kulak-Burun-Boğaz Hastalıkları;;;H-5289-2016;;0000-0001-7798-6793;;54966789100;;;;;
Konya;Dr. Öğr. Üyesi Dr.;Mehmet Volkan;AKDOĞAN;Kulak-Burun-Boğaz Hastalıkları;;59E5DEBAF064D281;;;0000-0001-9710-9974;;23494954100;13403462100;;;;
Adana;Öğr. Gör. Dr.;Cem;ÖZER;Kulak-Burun-Boğaz Hastalıkları;;A04AED2DFBFA78B3;;;0000-0002-6641-5300;;23995614700;;;;;cem-ozer
Alanya;Öğr. Gör. Dr.;Kübra;ÇOBAN;Kulak-Burun-Boğaz Hastalıkları;;00D5C13659A1093D;;;0000-0002-4633-0983;;57195056015;;;;;
Ankara;Öğr. Gör. Dr.;Gülfem;BEYAZPINAR;Kulak-Burun-Boğaz Hastalıkları;;F6173B8AC24403A1;;;0000-0003-4324-9458;;57191399742;;;;;
Ankara;Öğr. Gör. Dr.;Sabuhi;JAFAROV;Kulak-Burun-Boğaz Hastalıkları;;E95C302F1499EFF2;;;0000-0002-7302-4199;;;;;;;
Ankara;Öğr. Gör. Dr.;Alper;KÖYCÜ;Kulak-Burun-Boğaz Hastalıkları;;79E3AB3542E04055;;;0000-0003-1290-3509;;57039957100;;;;;
İstanbul;Öğr. Gör. Dr.;Osman Halit;ÇAM;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0002-2785-4474;;41260943900;;;;;
Ankara;Uzm. Dr.;Sezai;AYAZ;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0002-4212-9676;;;;;;;
İzmir;Uzm. Dr.;Levent;OLGUN;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0001-9874-3862;;8256280800;;;;;
Ankara;Arş. Gör. Dr.;Azer;ABİLZADE;Kulak-Burun-Boğaz Hastalıkları;;CBAC3724FB7C3766;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Alican;AKASLAN;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0003-3783-2532;;;;;;;
Ankara;Arş. Gör. Dr.;Ceren;BAŞ;Kulak-Burun-Boğaz Hastalıkları;;24F56807835EB99A;;;0000-0002-1824-8149;;;;;;;
Ankara;Arş. Gör. Dr.;Göknil;GÜLTEKİN;Kulak-Burun-Boğaz Hastalıkları;;1C02EB6EDDB2F6DC;;;0000-0002-9001-7812;;;;;;;
Ankara;Arş. Gör. Dr.;Artoghrul;İSAZADE;Kulak-Burun-Boğaz Hastalıkları;;52B1DD97100D7C52;;;0000-0002-8467-0225;;;;;;;
Ankara;Arş. Gör. Dr.;Ömer;VURAL;Kulak-Burun-Boğaz Hastalıkları;;323ECE0A2F025487;;;0000-0002-0901-9301;;;;;;;
Ankara;Arş. Gör. Dr.;Gökay Serhan;YILDIZ;Kulak-Burun-Boğaz Hastalıkları;;;;;0000-0003-4320-9202;;;;;;;
Adana;Prof. Dr.;Başak;KARAKURUM GÖKSEL;Nöroloji;;BDB6CDDE3C56E2DB;;;0000-0003-2766-2277;;36135661100;;;;;basak-karakurum-goksel
Adana;Prof. Dr.;Vahide Deniz;YERDELEN;Nöroloji;;68225BF3B3806FD9;;;0000-0001-6799-5100;;6503996379;;;;;vahide-deniz-yerdelen
Ankara;Prof. Dr.;Ülkü Sibel;BENLİ;Nöroloji;;91B96003DCC3DF12;;;0000-0002-9975-3170;;6507921308;;;;;ulku-sibel-benli
Ankara;Prof. Dr.;Ufuk;CAN;Nöroloji;;D036421948B7E2D0;;;0000-0001-8689-417X;;6603618003;;;;;ufuk-can
Ankara;Prof. Dr.;Münire;KILINÇ TOPRAK;Nöroloji;;AD5C89F63859D6E6;;;0000-0001-7979-0276;;55196454800;7005502384;57203206083;25621942800;;
Ankara;Prof. Dr.;Turgut;ZİLELİ;Nöroloji;;2D09AAD60916A360;;;;;7003765944;36828897700;57188785516;57188785515;;
Ankara;Doç. Dr.;Eda;DERLE ÇİFTÇİ;Nöroloji;;FBA5256F0D02B7A9;;;0000-0003-2122-1016;;25029977200;57203209382;;;;eda-derle-ciftci
Alanya;Dr. Öğr. Üyesi Dr.(Doç.);Aynur;YILMAZ AVCI;Nöroloji;;36B5D4F490A3B8AA;;;0000-0001-9004-9382;;57193520550;;;;;
Ankara;Dr. Öğr. Üyesi Dr.(Doç.);Ruhsen;ÖCAL;Nöroloji;;6F3FFEEC0B987682;;;0000-0002-2440-2421;;36802434600;;;;;ruhsen-ocal
İzmir;Dr. Öğr. Üyesi Dr.(Doç.);Bedile İrem;TİFTİKCİOĞLU;Nöroloji;;D2BE2AC7E7EBDD60;;;0000-0002-4573-3844;;11839839600;;;;;
Adana;Öğr. Gör. Dr.;Anıl;TANBUROĞLU;Nöroloji;;EF634D543DF62909;;;0000-0001-9627-3502;;57204663480;;;;;
Ankara;Öğr. Gör. Dr.;Seda;KİBAROĞLU;Nöroloji;;9DEC7B1CBEEA525A;;;0000-0002-3964-268X;;56006062400;;;;;
İstanbul;Öğr. Gör. Dr.;Özlem;ARAAL ARPAT;Nöroloji;;520A3ACCB0606396;;;0000-0002-2140-8035;;12243504400;55180666800;;;;
İstanbul;Öğr. Gör. Dr.;Meliha;GÜLERYÜZ;Nöroloji;;1CD42767D486E198;;;0000-0002-1474-5068;;6602668134;;;;;
Adana;Uzm. Dr.;Bireylül;DEMİR;Nöroloji;;;;;0000-0003-4391-5836;;;;;;;
Adana;Uzm. Dr.;Ahmet Onur;KESKİN;Nöroloji;;;;;0000-0002-2942-323X;;57205618587;;;;;
Alanya;Uzm. Dr.;Oktay;AKALIN;Nöroloji;;;;;0000-0001-9673-0304;;6602287209;57204823029;;;;
Ankara;Uzm. Dr.;Berna;ALKAN;Nöroloji;;;;;0000-0003-2894-804X;;;;;;;
Ankara;Uzm. Dr.;İlkin;İYİGÜNDOĞDU;Nöroloji;;;;;0000-0001-7860-040X;;57196299235;;;;;
İzmir;Uzm. Dr.;Behiye;MUNGAN;Nöroloji;;;;;;;6506140298;;;;;
Konya;Uzm. Dr.;Rahime;SEREN;Nöroloji;;;;;;;;;;;;
Konya;Uzm. Dr.;Tomris;UĞUR;Nöroloji;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Güven;GİRGİN;Nöroloji;;;;;;;;;;;;
Adana;Prof. Dr.;Mehmet;REYHAN;Nükleer Tıp;;A0C942CA8BBC5575;;;0000-0001-8550-3368;;57196028567;;;;;mehmet-reyhan
Adana;Prof. Dr.;Ali Fuat;YAPAR;Nükleer Tıp;;44EDE56359CC4527;;;0000-0003-1715-4180;;56169081200;6507372939;;;;ali-fuat-yapar
Ankara;Prof. Dr.;Ayşe;AKTAŞ;Nükleer Tıp;;E00954C906CCDC14;;;0000-0003-0149-2265;;7005590327;;;;;
Ankara;Prof. Dr.;Esra Arzu;GENÇOĞLU;Nükleer Tıp;;DE19D3DE3701EC27;;;0000-0003-4631-1683;;6603377986;12786932500;;;;
İstanbul;Doç. Dr.;Seval;ERHAMAMCI;Nükleer Tıp;;C8795344E8D3D31A;;;0000-0001-5016-4650;;42161189200;;;;;
Adana;Dr. Öğr. Üyesi Dr.(Doç.);Neşe;TORUN;Nükleer Tıp;;61F329A74E9F0EB0;;;0000-0002-5597-676X;;16311347700;;;;;nese-torun
Adana;Öğr. Gör. Dr.(Doç.);Gül Nihal;NURSAL;Nükleer Tıp;;48FC1C096EA25E57;;;0000-0002-5302-4386;;8946546600;;;;;
Adana;Prof. Dr.;Murat Ali;HERSEKLİ;Ortopedi ve Travmatoloji;;177A3AC77F187BE5;;;0000-0001-6204-0372;;6603569419;;;;;
Adana;Prof. Dr.;Metin;ÖZALAY;Ortopedi ve Travmatoloji;;D8670129BA37B08B;;;0000-0002-2506-9712;;6602489487;;;;;
Adana;Prof. Dr.;Gürkan;ÖZKOÇ;Ortopedi ve Travmatoloji;;D24B3EA0FE824413;;;;;6602128119;;;;;
Ankara;Prof. Dr.;Rahmi Can;AKGÜN;Ortopedi ve Travmatoloji;;4229AC7E4F9C078D;;;0000-0002-7545-1784;;27168928800;;;;;
Ankara;Prof. Dr.;Hüseyin;DEMİRÖRS;Ortopedi ve Travmatoloji;;3F52A86234A175EC;;;0000-0002-2457-0935;;6603619126;;;;;
Ankara;Prof. Dr.;İlhami;KURU;Ortopedi ve Travmatoloji;;978C16C248663BDC;;;0000-0002-1268-1451;;55981810400;10045491700;;;;
Ankara;Prof. Dr.;İsmail Cengiz;TUNCAY;Ortopedi ve Travmatoloji;;4B404309320C1194;;;0000-0001-5856-8895;;6701330998;6603466988;56751916200;;;
İzmir;Prof. Dr.;Hakan;BOYA;Ortopedi ve Travmatoloji;;1EEF000961C47F62;;;0000-0001-6110-4004;;6602862897;;;;;
Konya;Prof. Dr.;Abdurrahman;KUTLU;Ortopedi ve Travmatoloji;;1E5823CB8B39A794;;;;;6603708944;;;;;
Adana;Doç. Dr.;Bekir Murat;ÇINAR;Ortopedi ve Travmatoloji;;7BB0B5E335877B20;;;0000-0002-7906-5039;;35368261800;15051760300;;;;bekir-murat-cınar
Alanya;Doç. Dr.;Mehmet Şükrü;ŞAHİN;Ortopedi ve Travmatoloji;;50437621F44F9799;;;0000-0001-7677-8423;;36337954400;;;;;mehmet-sukru-sahin
Ankara;Doç. Dr.;Orçun;ŞAHİN;Ortopedi ve Travmatoloji;;7DF05F1AEE2F9240;;;0000-0002-6035-6258;;9736208600;;;;;
İstanbul;Doç. Dr.;Emre;DEMİRÇAY;Ortopedi ve Travmatoloji;;FC6A3EAB00DB4A2A;;;0000-0003-1274-4288;;12764823000;;;;;emre-demircay
Konya;Doç. Dr.;Mehmet;TÜKENMEZ;Ortopedi ve Travmatoloji;;367AACDFACA7155E;;;0000-0003-4824-4138;;56038685600;8615718900;;;;
Alanya;Uzm. Dr. (Doç.);Kemal;GÖKKUŞ;Ortopedi ve Travmatoloji;;;A-4410-2016;;0000-0002-4916-3471;0000-0003-0653-5260;6507300940;;;;;
Adana;Dr. Öğr. Üyesi Dr.;Salih;BEYAZ;Ortopedi ve Travmatoloji;;71E11E8BE8DF2297;M-2609-2013;;0000-0002-5788-5116;;35723827100;;;;;
Adana;Dr. Öğr. Üyesi Dr.;Ümit Özgür;GÜLER;Ortopedi ve Travmatoloji;;79629356D06AAD5B;;;0000-0002-5375-635X;;47361011400;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Bahtiyar;HABERAL;Ortopedi ve Travmatoloji;;21F40FD3C3E9577D;W-9080-2019;;0000-0002-1668-6997;;55631129800;;;;;
İstanbul;Dr. Öğr. Üyesi Dr.;Ömer;ÖZEL;Ortopedi ve Travmatoloji;;E34296F07BACD1A5;;;;;56545434600;;;;;
Adana;Öğr. Gör. Dr.;Mustafa Çağrı;AVCI;Ortopedi ve Travmatoloji;;9DC86006AADBF400;;;0000-0002-3298-7618;;;;;;;
Adana;Uzm. Dr.;Abdulaziz;TEMİZ;Ortopedi ve Travmatoloji;;;;;0000-0002-6467-0025;;;;;;;
Alanya;Uzm. Dr.;Mehmet Barış;SARGIN;Ortopedi ve Travmatoloji;;;;;0000-0003-4648-9473;;;;;;;
İzmir;Uzm. Dr.;Bahriye;ASLAN  KARAKAYA;Ortopedi ve Travmatoloji;;;;;;;;;;;;
